"tweet_id","tweet_text","tweet_sentiment"
"0c8d8b7013","he is the meanest lil boy ever!!!!!!!!!! When I was a lil girl everyone loved me","neutral"
"edfc9878fd","beautiful.","positive"
"7b8a357dcf","is now going to the hairdressers instead of running due to rain","neutral"
"b595c6c4f4","too many Germï¿½n rodrï¿½guez`s results. Which one are you? I mean, how do you look like in your profile picture?","neutral"
"c0b0c01f67","..they dont ever send me notices! just notices for other people to my address!","negative"
"dacf8c1cda","O and i have to wear a **** jacket today cos i didnt notice a mark on my shirt..","neutral"
"3df92745c3","my baby man is 4 years old a week today he`s growing up too fast.....","neutral"
"194c5351e0","Bleah a tad tipsy and too many cup cakes. Maddies birthday tomorrow + family party","neutral"
"a79f914fb9","another friday night with nothing to do ...boyfriend works until 1am","neutral"
"feb7ba9cc1","hehe i will never thorw out these shoes i`m listening to varsity fanclub surprise surprise sway sway baby is awesom","positive"
"fda3d9467e","Yeah man, been a while since I heard you spittin`.","neutral"
"a05b20af47","Environmental project","neutral"
"bb7b30264b","Cleaning the old apartment today. Yay...","neutral"
"454829e8ff","Running errands with my little man. Maybe he won`t act like a 3 year old today.","neutral"
"cbbbffcfe2",". Glad you mentioned it last night, watched it again","positive"
"b269c57eb2","when we were poor and lived in Germany it was our favourite cheap Saturday. Now we have one 20min away.","positive"
"5931a8cc5e","Hey OJ, I just want to ask, you hooked up with somebody ayt now?","neutral"
"7ea1d989a2","haha dont we ever do that before many times","neutral"
"e68a444cc4","Crabs are amazing...well as long as they`re not in your pants.","neutral"
"ac7a56d521","Somebody get me out of work tomorrow.","neutral"
